dim,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0.47337527,0.504638455,0.520691638,0.540320879,0.542364976,0.54489071,0.55435697,0.552588004,0.550981065,0.556340704,0.542892362,0.55061539,0.564836383,0.564604461,0.563739357,0.559667366,0.564772207,0.562271254,0.561863007,0.562010421,0.563950311,0.570116597,0.566725442,0.564215911,0.570791397,0.57129972
2,0.547548608,0.564710255,0.568805121,0.581907485,0.588758737,0.594678803,0.59056138,0.590116597,0.594982526,0.591452853,0.596270492,0.598777481,0.599017029,0.604572055,0.596753399,0.592716673,0.594163172,0.598621807,0.596340704,0.591751175,0.597994663,0.604271508,0.603454378,0.607962575,0.607577519,0.605964544
3,0.607831999,0.643317766,0.667296353,0.684557758,0.706343881,0.709464036,0.714442115,0.726106557,0.733089656,0.733558902,0.731528784,0.726502097,0.726194561,0.728736498,0.727502224,0.725175372,0.726602173,0.733082031,0.729185411,0.73080887,0.731875715,0.735527068,0.739572373,0.739907866,0.737805947,0.737898716
4,0.590599822,0.643074088,0.666437286,0.688271381,0.687715085,0.699890075,0.70761056,0.709582857,0.713116343,0.718601474,0.723530627,0.724024336,0.719172385,0.722214386,0.720712924,0.725899415,0.723698373,0.726680963,0.726795018,0.72622506,0.72555312,0.722861863,0.725215402,0.726384865,0.725151862,0.725810141
5,0.585736434,0.637388486,0.646769285,0.669689287,0.679190177,0.69402243,0.700913712,0.70466959,0.710229381,0.714400496,0.720024781,0.71766044,0.717466324,0.718329839,0.71980366,0.717635659,0.71419113,0.718577964,0.718319037,0.719689922,0.717906024,0.716232685,0.716095755,0.717885373,0.715222392,0.71149193
6,0.597124793,0.634020841,0.656758165,0.667678866,0.671662219,0.689808108,0.697686491,0.697176261,0.702294764,0.712354492,0.711181535,0.714014487,0.716685729,0.718733003,0.717915872,0.715161711,0.712735417,0.711275257,0.712966069,0.716120219,0.712505719,0.711564367,0.710126446,0.712591181,0.716733384,0.713748888
7,0.602015504,0.645127716,0.653117931,0.666788029,0.672262676,0.675130258,0.685382831,0.694279451,0.69044669,0.699872284,0.699497077,0.705824755,0.706719405,0.702533676,0.709205109,0.70781802,0.709587622,0.71303374,0.714932647,0.716610116,0.718700915,0.716121807,0.722990532,0.723175118,0.72204505,0.723491231
8,0.598709493,0.640217944,0.643515059,0.663184331,0.677690304,0.683263757,0.688301563,0.691129432,0.691443957,0.698514424,0.699691511,0.708541428,0.709862435,0.70616978,0.715535329,0.711081141,0.709547274,0.711354683,0.714547592,0.718125238,0.720323421,0.723824819,0.723066146,0.719594612,0.721006481,0.72316368
9,0.603472487,0.638733638,0.663317131,0.678565256,0.68105223,0.676550388,0.685746918,0.687606113,0.691206634,0.696844898,0.699768713,0.701803279,0.705085144,0.706021731,0.712435189,0.716168509,0.716726712,0.719952027,0.722169907,0.718096327,0.720437794,0.716607256,0.718715847,0.718893125,0.719025289,0.716245076
10,0.606751175,0.638638328,0.666578028,0.675608718,0.679263566,0.671278752,0.679672449,0.68715847,0.689908502,0.696736243,0.697191829,0.701670479,0.704953298,0.706305757,0.712762104,0.715305947,0.718577964,0.720230017,0.722551785,0.719320117,0.721057631,0.71873618,0.719881815,0.719848456,0.718568751,0.716305439
11,0.606751175,0.638638328,0.666578028,0.675608718,0.679263566,0.671278752,0.679672449,0.68715847,0.689908502,0.696736243,0.697191829,0.701670479,0.704953298,0.706305757,0.712762104,0.715305947,0.718577964,0.720230017,0.722551785,0.719320117,0.721057631,0.71873618,0.719881815,0.719848456,0.718568751,0.716305439
12,0.606751175,0.638638328,0.666578028,0.675608718,0.679263566,0.671278752,0.679672449,0.68715847,0.689908502,0.696736243,0.697191829,0.701670479,0.704953298,0.706305757,0.712762104,0.715305947,0.718577964,0.720230017,0.722551785,0.719320117,0.721057631,0.71873618,0.719881815,0.719848456,0.718568751,0.716305439
