trees,0,1,2,3,4,5
6,0.678034375,0.719443068,0.725983924,0.731731478,0.724132673,0.725010802
11,0.688961749,0.726295908,0.725952789,0.725209684,0.722163553,0.736462702
16,0.712867582,0.727326535,0.735401576,0.736728619,0.727412632,0.742280468
21,0.727284598,0.735333905,0.73804899,0.736854111,0.730365993,0.747757021
26,0.723502351,0.736028403,0.744695641,0.742217563,0.738934426,0.75110624
31,0.725764392,0.737871394,0.747048545,0.743035329,0.744317575,0.752616597
36,0.725161393,0.736966578,0.745425086,0.740684966,0.743684077,0.755902275
41,0.723282501,0.739114563,0.747620409,0.743042953,0.745657644,0.755348837
46,0.7306748,0.742703012,0.74908184,0.747642648,0.749320117,0.75673402
51,0.728929343,0.743798767,0.748328886,0.745752955,0.748192273,0.758581141
56,0.730676071,0.740982018,0.747037743,0.744137756,0.748611005,0.758757784
61,0.729379845,0.740371076,0.7478015,0.744488499,0.751279705,0.759943449
66,0.733421972,0.740477189,0.747033931,0.744944084,0.752541619,0.760627144
71,0.733507752,0.738658978,0.745897192,0.747651544,0.752947007,0.762671877
76,0.73357574,0.738665968,0.746584064,0.748656119,0.752614691,0.762016139
81,0.733875016,0.73920352,0.745517219,0.748102046,0.752652815,0.761408692
86,0.732891727,0.738626573,0.744714703,0.747795781,0.753312365,0.760598551
91,0.732400241,0.737117804,0.744604143,0.745538823,0.750743424,0.761204092
96,0.732393252,0.73797433,0.745109925,0.746124031,0.750773923,0.759684204
101,0.732308743,0.73647541,0.745365358,0.747262041,0.749315034,0.760602364
106,0.733160821,0.737315415,0.746433473,0.747455839,0.750658279,0.762206125
111,0.730514996,0.73731478,0.747460923,0.746493837,0.750387597,0.761896683
116,0.731097344,0.737891092,0.747804041,0.746723853,0.750801245,0.761131656
121,0.730262422,0.737045368,0.747035837,0.746643792,0.75198564,0.762115262
126,0.72936396,0.736624095,0.745810776,0.746338798,0.751448723,0.761504003
